File created:26/08/2024 13:52:57
WG assessment year:2024
Data year:2023
Stock:whb.27.1-91214,Stock description:Blue whiting (Micromesistius poutassou) in Subareas 1-9, 12, and 14 (Northeast Atlantic and adjacent waters)
Allocation scheme:Alloc2023

LIST OF UNSAMPLED STRATA AND THEIR ALLOCATED SAMPLED STRATA.

YOU CAN USE THIS FILE TO HAVE A MATRIX OVERVIEW OF WHAT SAMPLED STRATA HAVE BEEN ALLOCATED TO WHICH UNSAMPLED STRATA

There are 4 files:
        - 2 specifying what is allocated to the unsampled LANDINGS
            - 1 sorted by Fleet before season 
            - 1 sorted by season before Fleet 
        - 2 specifying what is allocated to the unsampled DISCARDS
            - 1 sorted by Fleet before season
            - 1 sorted by season  before Fleet 

The patterns which visually can be seen in the allocations depend the sorting of the element (season or fleet) in the strata, depending on if the allocations have been primarily done according to season or fleet.


   Explanation on how to use the output, for visual inspection:
     1. Copy all the data into a spreadsheet.
     2. Create a pivot table with the Unsampled as rows and the Sampled as columns.
     3. Copy the pivot table but only with the header row and markers, out the sum row and column and column label.
     4. Paste only values.\n
     5. Select the Sampled row and format cell and select tab Alignment and align the text horizontal and adjust the column width.
          

Unsampled Discards strata,Allocated sampled strata,Marker
DK_27.3.a.20_1_MIS_MIS_0_0_0_HC_D,IS_27.4.a_1_Pelagic trawl_L,X
DK_27.3.a.20_2_MIS_MIS_0_0_0_HC_D,IS_27.4.a_2_Pelagic trawl_L,X
DK_27.3.a.20_2_MIS_MIS_0_0_0_HC_D,NO_27.4.a_2_All_L,X
DK_27.3.a.20_2_MIS_MIS_0_0_0_HC_D,RU_27.4.a_2_Pelagic trawl_L,X
DK_27.3.a.20_3_MIS_MIS_0_0_0_HC_D,NO_27.4.a_3_All_L,X
DK_27.3.a.20_4_MIS_MIS_0_0_0_HC_D,DK_27.4.a_4_OTM_SPF_32-69_0_0_all_L,X
DK_27.3.a.20_4_MIS_MIS_0_0_0_HC_D,NO_27.4.a_4_All_L,X
DK_27.4.a_1_MIS_MIS_0_0_0_HC_D,IS_27.4.a_1_Pelagic trawl_L,X
DK_27.4.a_2_MIS_MIS_0_0_0_HC_D,IS_27.4.a_2_Pelagic trawl_L,X
DK_27.4.a_2_MIS_MIS_0_0_0_HC_D,NO_27.4.a_2_All_L,X
DK_27.4.a_2_MIS_MIS_0_0_0_HC_D,RU_27.4.a_2_Pelagic trawl_L,X
DK_27.4.a_3_MIS_MIS_0_0_0_HC_D,NO_27.4.a_3_All_L,X
DK_27.4.a_4_MIS_MIS_0_0_0_HC_D,DK_27.4.a_4_OTM_SPF_32-69_0_0_all_L,X
DK_27.4.a_4_MIS_MIS_0_0_0_HC_D,NO_27.4.a_4_All_L,X
DK_27.4.b_1_MIS_MIS_0_0_0_HC_D,IS_27.4.a_1_Pelagic trawl_L,X
