File created:13/08/2025 18:22:58
WG assessment year:2025
Data year:2024
Stock:whb.27.1-91214,Stock description:Blue whiting (Micromesistius poutassou) in Subareas 1-9, 12, and 14 (Northeast Atlantic and adjacent waters)
Allocation scheme:whb2024_alloc_scheme,whb 2024 data - wgwide2025

LIST OF UNSAMPLED STRATA AND THEIR ALLOCATED SAMPLED STRATA.

YOU CAN USE THIS FILE TO HAVE A MATRIX OVERVIEW OF WHAT SAMPLED STRATA HAVE BEEN ALLOCATED TO WHICH UNSAMPLED STRATA

There are 4 files:
        - 2 specifying what is allocated to the unsampled LANDINGS
            - 1 sorted by Fleet before season 
            - 1 sorted by season before Fleet 
        - 2 specifying what is allocated to the unsampled DISCARDS
            - 1 sorted by Fleet before season
            - 1 sorted by season  before Fleet 

The patterns which visually can be seen in the allocations depend the sorting of the element (season or fleet) in the strata, depending on if the allocations have been primarily done according to season or fleet.


   Explanation on how to use the output, for visual inspection:
     1. Copy all the data into a spreadsheet.
     2. Create a pivot table with the Unsampled as rows and the Sampled as columns.
     3. Copy the pivot table but only with the header row and markers, out the sum row and column and column label.
     4. Paste only values.\n
     5. Select the Sampled row and format cell and select tab Alignment and align the text horizontal and adjust the column width.
          

Unsampled BMS landing strata,Allocated sampled strata,Marker
DK_27.2.a.2_OTM_SPF_32-69_0_0_all_2_B,DE_27.2.a.2_OTM_SPF_32-69_0_0_all_2_L,X
DK_27.4.a_MIS_MIS_0_0_0_HC_1_B,FO_27.4.a_All_1_L,X
DK_27.4.a_MIS_MIS_0_0_0_HC_1_B,IS_27.4.a_Pelagic trawl_1_L,X
DK_27.4.a_MIS_MIS_0_0_0_HC_2_B,NO_27.4.a_TrawlPlus_2_L,X
DK_27.4.a_MIS_MIS_0_0_0_HC_3_B,NO_27.4.a_TrawlPlus_3_L,X
DK_27.4.a_MIS_MIS_0_0_0_HC_4_B,IS_27.4.a_Pelagic trawl_4_L,X
DK_27.4.a_MIS_MIS_0_0_0_HC_4_B,NO_27.4.a_TrawlPlus_4_L,X
DK_27.4.a_MIS_MIS_0_0_0_IBC_1_B,FO_27.4.a_All_1_L,X
DK_27.4.a_MIS_MIS_0_0_0_IBC_1_B,IS_27.4.a_Pelagic trawl_1_L,X
DK_27.4.a_MIS_MIS_0_0_0_IBC_2_B,NO_27.4.a_TrawlPlus_2_L,X
DK_27.4.a_MIS_MIS_0_0_0_IBC_3_B,NO_27.4.a_TrawlPlus_3_L,X
DK_27.4.a_MIS_MIS_0_0_0_IBC_4_B,IS_27.4.a_Pelagic trawl_4_L,X
DK_27.4.a_MIS_MIS_0_0_0_IBC_4_B,NO_27.4.a_TrawlPlus_4_L,X
DK_27.4.a_OTM_SPF_32-69_0_0_all_1_B,FO_27.4.a_All_1_L,X
DK_27.4.a_OTM_SPF_32-69_0_0_all_1_B,IS_27.4.a_Pelagic trawl_1_L,X
DK_27.4.a_OTM_SPF_32-69_0_0_all_2_B,NO_27.4.a_TrawlPlus_2_L,X
DK_27.4.a_OTM_SPF_32-69_0_0_all_3_B,NO_27.4.a_TrawlPlus_3_L,X
DK_27.4.a_OTM_SPF_32-69_0_0_all_4_B,IS_27.4.a_Pelagic trawl_4_L,X
DK_27.4.a_OTM_SPF_32-69_0_0_all_4_B,NO_27.4.a_TrawlPlus_4_L,X
DK_27.6.a_OTM_SPF_32-69_0_0_all_1_B,DK_27.6.a_OTM_SPF_32-69_0_0_all_1_L,X
DK_27.6.a_OTM_SPF_32-69_0_0_all_1_B,NL_27.6.a_OTM_SPF_32-69_0_0_all_1_L,X
DK_27.6.a_OTM_SPF_32-69_0_0_all_2_B,DE_27.6.a_OTM_SPF_32-69_0_0_all_2_L,X
DK_27.6.a_OTM_SPF_32-69_0_0_all_2_B,DK_27.6.a_OTM_SPF_32-69_0_0_all_2_L,X
DK_27.6.a_OTM_SPF_32-69_0_0_all_2_B,NL_27.6.a_OTM_SPF_32-69_0_0_all_2_L,X
DK_27.6.a_OTM_SPF_32-69_0_0_all_4_B,DK_27.6.a_OTM_SPF_32-69_0_0_all_4_L,X
DK_27.6.a_OTM_SPF_32-69_0_0_all_4_B,NL_27.6.a_OTM_SPF_32-69_0_0_all_4_L,X
DK_27.6.b.2_OTM_SPF_32-69_0_0_all_1_B,NL_27.6.b.2_OTM_SPF_32-69_0_0_all_1_L,X
DK_27.7.c.2_OTM_SPF_32-69_0_0_all_1_B,DK_27.7.c.2_OTM_SPF_32-69_0_0_all_1_L,X
DK_27.7.c.2_OTM_SPF_32-69_0_0_all_1_B,NL_27.7.c.2_OTM_SPF_32-69_0_0_all_1_L,X
DK_27.7.c.2_OTM_SPF_32-69_0_0_all_2_B,ES_27.7.c.2_OTB_DEF_70-99_0_0_2_D,X
DK_27.7.c.2_OTM_SPF_32-69_0_0_all_3_B,ES_27.7.c.2_OTB_DEF_70-99_0_0_3_D,X
DK_27.7.j.2_OTM_SPF_32-69_0_0_all_1_B,UKE_27.7.j.2_OTM_SPF_32-69_0_0_all_1_L,X
DK_27.7.j.2_OTM_SPF_32-69_0_0_all_2_B,ES_27.7.j.2_OTB_DEF_70-99_0_0_2_D,X
DK_27.7.j.2_OTM_SPF_32-69_0_0_all_3_B,ES_27.7.j.2_OTB_DEF_70-99_0_0_3_D,X
DK_27.7.j.2_OTM_SPF_32-69_0_0_all_4_B,NL_27.7.j.2_OTM_SPF_32-69_0_0_all_4_L,X
DK_27.7.k.2_OTM_SPF_32-69_0_0_all_1_B,DK_27.7.k.2_OTM_SPF_32-69_0_0_all_1_L,X
DK_27.7.k.2_OTM_SPF_32-69_0_0_all_1_B,NL_27.7.k.2_OTM_SPF_32-69_0_0_all_1_L,X
DK_27.7.k.2_OTM_SPF_32-69_0_0_all_2_B,ES_27.7.k.2_OTB_DEF_70-99_0_0_2_D,X
DK_27.8.a_MIS_MIS_0_0_0_IBC_1_B,ES_27.8.a_PTB_DEF_>=70_0_0_1_D,X
DK_27.8.a_MIS_MIS_0_0_0_IBC_2_B,ES_27.8.a_PTB_DEF_>=70_0_0_2_D,X
DK_27.8.a_MIS_MIS_0_0_0_IBC_3_B,ES_27.8.a_PTB_DEF_>=70_0_0_3_D,X
DK_27.8.a_MIS_MIS_0_0_0_IBC_4_B,ES_27.8.a_OTB_DEF_>=70_0_0_4_D,X
DK_27.8.a_MIS_MIS_0_0_0_IBC_4_B,ES_27.8.a_OTB_MCF_>=70_0_0_4_D,X
DK_27.8.a_MIS_MIS_0_0_0_IBC_4_B,ES_27.8.a_PTB_DEF_>=70_0_0_4_D,X
ES_27.8.c_OTB_DEF_>=55_0_0_2_B,ES_27.8.c_OTB_DEF_>=55_0_0_2_L,X
ES_27.8.c_OTB_DEF_>=55_0_0_2_B,ES_27.8.c_OTB_DEF_>=55_0_0_2_D,X
ES_27.9.a_OTB_MCD_>=55_0_0_2_B,ES_27.9.a_OTB_MCD_>=55_0_0_2_L,X
ES_27.9.a_OTB_MCD_>=55_0_0_2_B,ES_27.9.a_OTB_MCD_>=55_0_0_2_D,X
